car_name,rating,price,mileage,engine
Toyota Land Cruiser 300,4.6,"Rs.2.18 - 2.25 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",11 kmpl,3346 cc
Volkswagen Virtus,4.5,"Rs.10.50 - 19.20 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",20.8 kmpl,1498 cc
Maruti Suzuki Victoris,4.6,"Rs.10.50 - 19.99 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",28.65 kmpl,1490 cc
Toyota Hilux,4.5,"Rs.31.99 - 36.69 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,2755 cc
Tata Tiago EV,4.6,"Rs.6.99 - 10.09 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Toyota Innova Hycross,4.4,"Rs.18.70 - 31.84 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",23.24 kmpl,1987 cc
Tata Altroz,4.7,"Rs.6 - 10.90 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1497 cc
Skoda Slavia,4.4,"Rs.10 - 18.29 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",20.32 kmpl,1498 cc
MG Windsor EV,4.6,"Rs.14.70 - 19 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
BMW M5,4.7,"Rs.2.12 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",49.75 kmpl,4395 cc
Tata Safari,4.5,"Rs.13.40 - 26.91 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1956 cc
Nissan Gravite,4.6,"Rs.5.73 - 9.38 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",19.6 kmpl,999 cc
Maruti Suzuki S-Presso,4.3,"Rs.3.50 - 5.27 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",25.3 kmpl,998 cc
Tata Nexon EV,4.5,"Rs.12.49 - 17.89 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Honda City,4.7,"Rs.12 - 21.36 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",27.26 kmpl,1498 cc
