car_name,rating,price,mileage,engine
Tesla Model Y,4.6,"Rs.50.89 - 61.99 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Mercedes-Benz EQS SUV,4.7,"Rs.1.33 - 1.48 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Mclaren GT,4.6,"Rs.4.50 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",5.1 kmpl,3994 cc
Jaguar F-Pace,4.3,"Rs.72.90 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",10.2 kmpl,1997 cc
Citroen e-C3 X,4.2,"Rs.11.99 - 13.26 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Lexus LM,4.7,"Rs.2.20 - 2.75 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,2487 cc
Mercedes-Benz AMG CLE 53,4.5,"Rs.1.32 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,2999 cc
Isuzu S-CAB,4.2,"Rs.10.44 - 12.75 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",16.56 kmpl,2499 cc
Porsche Panamera,4.6,"Rs.1.71 - 2.33 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",20 kmpl,3996 cc
Rolls-Royce Phantom,4.6,"Rs.8.99 - 10.48 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",9.8 kmpl,6749 cc
Kia EV9,4.9,"Rs.1.30 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Lamborghini Temerario,4.3,"Rs.6 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,3995 cc
Mercedes-Benz EQS,4.4,"Rs.1.30 - 1.48 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Volvo EX30,4.3,"Rs.41 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Tata Xpres T EV,4.8,"Rs.13.04 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Volvo EC40,4.8,"Rs.59 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Lotus Emeya,5,"Rs.2.34 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Mini Countryman,4.7,"Rs.66.15 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1998 cc
Mercedes-Benz AMG GT 4 Door Coupe,4.6,"Rs.3.27 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",7 kmpl,3982 cc
Mclaren 750S,4.3,"Rs.5.91 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",6.1 kmpl,3994 cc
Bentley Bentayga,4.5,"Rs.5 - 6.75 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",8.6 kmpl,3993 cc
Isuzu MU-X,4.2,"Rs.34.53 - 37.71 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",13 kmpl,1898 cc
VinFast VF MPV 7,,"Rs.24.49 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Mercedes-Benz V-Class Extra LWB,4.4,"Rs.1.40 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1999 cc
PMV EaS E,4.5,"Rs.4.79 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Mercedes-Benz AMG E 53,,"Rs.1.45 - 1.48 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,2999 cc
Lexus NX,4,"Rs.67.59 - 74.50 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",9.5 kmpl,2487 cc
BMW 3 Series Long Wheelbase,4.3,"Rs.60.60 - 64.20 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",19.61 kmpl,1998 cc
Mini Countryman C,4.7,"Rs.47.50 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Volkswagen Golf GTI,4.6,"Rs.50.91 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1984 cc
Mercedes-Benz AMG GLC 43,4.6,"Rs.99.85 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",10 kmpl,1991 cc
Lotus Eletre,4.8,"Rs.2.55 - 2.99 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Isuzu Hi-Lander,4.1,"Rs.21.50 - 23.60 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",12.4 kmpl,1898 cc
Lamborghini Revuelto,4.6,"Rs.8.89 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,6498 cc
Ferrari SF90 Stradale,4.5,"Rs.7.50 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",18 kmpl,3990 cc
Ferrari F8 Tributo,4.4,"Rs.4.02 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",5.8 kmpl,3902 cc
Lotus Emira,4.8,"Rs.3.22 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1998 cc
Mercedes-Benz Maybach SL 680,4.2,"Rs.4.30 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,3982 cc
Lamborghini Huracan EVO,4.6,"Rs.4 - 4.99 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",5.9 kmpl,5204 cc
Hyundai Prime SD,4.5,"Rs.6.96 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1197 cc
Audi RS Q8,4.7,"Rs.2.34 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",9 kmpl,3998 cc
Ferrari Amalfi,4,"Rs.5.59 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,3902 cc
Mercedes-Benz G-Class,4.6,"Rs.2.55 - 4.30 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",8.47 kmpl,3982 cc
Mercedes-Benz G-Class Electric,4.7,"Rs.3.10 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Aston Martin DBX,4.5,"Rs.4.15 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",8 kmpl,3982 cc
BMW M4 CS,4.7,"Rs.1.79 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",9.7 kmpl,2993 cc
Nissan X-Trail,4.6,"Rs.48.20 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",10 kmpl,1498 cc
Aston Martin DB12,4.3,"Rs.4.10 - 4.35 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",10 kmpl,3982 cc
Skoda Kodiaq RS,,"Rs.66.99 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1984 cc
Isuzu S-CAB Z,4.8,"Rs.15.90 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,2499 cc
Maruti Suzuki Ertiga Tour,4.5,"Rs.9.68 - 10.59 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",18.04 kmpl,1462 cc
Volkswagen Tiguan R-Line,4.5,"Rs.47.11 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",12.58 kmpl,1984 cc
Mercedes-Benz AMG C43,4.2,"Rs.94.05 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",10 kmpl,1991 cc
Isuzu V-Cross,4.2,"Rs.25.50 - 30 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",12.4 kmpl,1898 cc
Audi Q3 Sportback,4.1,"Rs.54.25 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",10.14 kmpl,1984 cc
Mercedes-Benz Maybach EQS SUV,4.7,"Rs.2.40 - 2.65 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Maserati Grecale,5,"Rs.1.31 - 2.05 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",9.2 kmpl,3000 cc
Mercedes-Benz AMG S 63,4.8,"Rs.3.27 - 3.80 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",19.4 kmpl,3982 cc
Pravaig DEFY,4.6,"Rs.39.50 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Maserati GranCabrio,4.4,"Rs.2.46 - 2.69 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",10.2 kmpl,4691 cc
Mercedes-Benz AMG A 45 S,4.4,"Rs.87 - 94.80 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",10 kmpl,1991 cc
Volvo EX40,4.2,"Rs.49 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
BYD eMAX 7,4.7,"Rs.26.90 - 29.90 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Tata Yodha Pickup,4.5,"Rs.6.95 - 7.50 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",13 kmpl,2956 cc
Mahindra XEV 9S,4.8,"Rs.20.65 - 30.90 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Rolls-Royce Spectre,4.7,"Rs.7.50 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Land Rover Discovery Sport,4.2,"Rs.63.37 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1999 cc
Porsche Cayenne Coupe,4.2,"Rs.1.44 - 1.95 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",8 kmpl,3996 cc
Aston Martin Vanquish,4.4,"Rs.6.40 - 6.90 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,5203 cc
Lexus RX,4.2,"Rs.89.99 Lakh - 1.10 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,2487 cc
Mercedes-Benz Maybach S-Class,4.7,"Rs.2.88 - 3.47 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",23 kmpl,5980 cc
Ferrari Roma,4.6,"Rs.3.76 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",6 kmpl,3855 cc
Mercedes-Benz AMG SL,4.6,"Rs.2.34 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",7.3 kmpl,3982 cc
Ferrari 849 Testarossa,4.2,"Rs.10.37 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,3990 cc
Porsche Macan EV,4.9,"Rs.1.22 - 1.73 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Mercedes-Benz CLA Electric,4.4,"Rs.56.50 - 64 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Ferrari 812,4.6,"Rs.5.75 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",5.5 kmpl,6496 cc
Maruti Suzuki Alto Tour H1,4.6,"Rs.4 - 4.82 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",24.39 kmpl,998 cc
Blinq RYDE,4.8,"Rs.4.50 - 5 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Mahindra XUV 3XO EV,4.6,"Rs.13.89 - 14.96 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Mercedes-Benz AMG C 63,4.7,"Rs.1.91 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1991 cc
Strom Motors R3,3.7,"Rs.4.50 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Mercedes-Benz CLE Cabriolet,4.5,"Rs.1.15 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",12 kmpl,1999 cc
Honda Amaze 2nd Gen,4.3,"Rs.5.99 - 7.80 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",18.6 kmpl,1199 cc
Mercedes-Benz AMG GLE 53,4.3,"Rs.1.52 - 1.88 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",8.9 kmpl,2999 cc
Maserati Quattroporte,4.5,"Rs.1.71 - 1.86 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",11.76 kmpl,2999 cc
Mahindra Bolero Pik-Up,4.5,"Rs.9.49 - 10.32 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",14.3 kmpl,2523 cc
Hyundai Prime HB,4.8,"Rs.6 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,1197 cc
Porsche Taycan,4.7,"Rs.1.70 - 2.70 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Maruti Suzuki Wagon R tour,4.3,"Rs.4.99 - 5.89 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",25.4 kmpl,998 cc
Audi SQ8,,"Rs.1.78 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,3996 cc
Audi S5 Sportback,4.5,"Rs.73.57 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",10.6 kmpl,2994 cc
Mercedes-Benz AMG EQS,4.6,"Rs.2.45 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Hyundai i20 N Line,4.5,"Rs.9.27 - 11.74 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",20 kmpl,998 cc
Toyota Urban Cruiser EBELLA,4.3,"Rs.23.60 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Force Gurkha 5 Door,4.3,"Rs.17.63 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",9.5 kmpl,2596 cc
Hyundai Grand i10 Nios,4.4,"Rs.5.60 - 8.04 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",18 kmpl,1197 cc
Rolls-Royce Ghost Series II,4.9,"Rs.8.95 - 10.52 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,6750 cc
Porsche Cayenne Electric,,"Rs.1.76 - 2.26 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Mini Countryman Electric,4.8,"Rs.55.65 - 60.70 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Mercedes-Benz AMG GT Coupe,4.6,"Rs.3 - 3.55 Cr*Get On-Road Price
*Ex-Showroom Price in New Delhi",,3982 cc
Hyundai IONIQ 5,5,"Rs.55.70 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",,
Maruti Suzuki Eeco Cargo,4.5,"Rs.5.39 - 6.61 Lakh*Get On-Road Price
*Ex-Showroom Price in New Delhi",20.2 kmpl,1197 cc
